trackID,acousticness,danceability,duration_ms,energy,instrumentalness,a_key,liveness,loudness,a_mode,speechiness,tempo,time_signature,valence,category
1iKqtspfLgieHfbezhCEVE,0.385000,0.655000,180360,0.768000,0.000257,4,0.073300,-5.616000,1,0.036500,92.021000,4,0.415000,country
6SpLc7EXZIPpy0sVko0aoU,0.002720,0.517000,211520,0.906000,0.000009,1,0.113000,-3.677000,1,0.073500,172.977000,4,0.715000,punk
1PB1crNoxv0Jezj0Y8LqO0,0.543000,0.531000,229345,0.651000,0.000804,2,0.118000,-5.918000,1,0.032800,75.001000,3,0.303000,country
5Jk8KUbiQHXzkflGGXMqiw,0.001210,0.554000,163957,0.888000,0.000109,2,0.426000,-5.079000,1,0.042900,132.864000,4,0.734000,punk
2VasmIeihF9jsKT5vlDeZi,0.002220,0.401000,248680,0.922000,0.013600,7,0.298000,-3.337000,1,0.041200,97.839000,4,0.591000,country
5kNe7PE09d6Kvw5pAsx23n,0.381000,0.660000,227427,0.383000,0.000000,2,0.119000,-9.377000,1,0.030400,83.096000,4,0.380000,country
5jc9qLH1djdgTj0oVwhpk6,0.059200,0.489000,190173,0.641000,0.000000,7,0.085700,-4.455000,1,0.028200,136.095000,4,0.301000,country
2N3F1EQCpnIeDOA3rLSAfE,0.083300,0.592000,229880,0.794000,0.000000,8,0.227000,-5.336000,1,0.187000,135.991000,4,0.447000,country
6I6YCZQd1mnmqEixGIg15y,0.001940,0.636000,187413,0.871000,0.000000,8,0.086200,-3.580000,1,0.042100,92.700000,4,0.803000,punk
62zclGijb0y2prmiTAKc2q,0.000008,0.262000,204200,0.943000,0.172000,6,0.092600,-3.768000,1,0.052400,157.574000,4,0.550000,punk
7nGSq7ceNaPPrK0Ko2SJz3,0.036000,0.182000,177253,0.926000,0.000000,0,0.078800,-4.660000,1,0.077000,203.338000,4,0.816000,punk
498ZVInMGDkmmNVpSWqHiZ,0.040600,0.488000,226173,0.915000,0.000000,7,0.351000,-4.255000,1,0.038900,75.019000,4,0.637000,country
7BHTgElwzJFMvIFsp4r3eS,0.013100,0.226000,241640,0.794000,0.000002,6,0.097400,-5.823000,1,0.067300,80.542000,4,0.229000,punk
1qwnPVOIJjAFfCc40Etb1D,0.018900,0.717000,205000,0.796000,0.000089,6,0.190000,-3.677000,1,0.030300,105.017000,4,0.949000,country
14zmzyf2yCZXWUWUNBDvIK,0.009690,0.616000,349267,0.706000,0.313000,0,0.111000,-6.846000,1,0.023300,89.998000,4,0.654000,country
5NKsBapKM2ZpPtZ5ZTyeD1,0.003730,0.731000,215053,0.649000,0.000564,9,0.063000,-7.513000,0,0.035200,113.998000,4,0.819000,country
6b32MS6bkFRyvSovIqXrIT,0.009290,0.491000,247760,0.904000,0.000000,9,0.106000,-4.729000,1,0.076500,156.031000,4,0.573000,punk
